YEAR,MO,DY,PS,QV2M,PRECTOTCORR,T2M,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
2017,1,1,101.52,10.01,0,19.86,3.78,3.4
2017,1,2,101.52,10.38,1.15,19.46,3.5,3.42
2017,1,3,101.46,10.62,1.21,18.78,3.42,3.32
2017,1,4,101.37,9.77,0,18.25,3.72,3.66
2017,1,5,101.36,8.67,0,17.42,4.1,4.09
2017,1,6,101.32,7.57,0,17.2,4.25,4.14
2017,1,7,101.17,7.08,0,17.65,4.23,4.06
2017,1,8,101.16,7.75,0,18.99,4.24,4.21
2017,1,9,101.16,8.79,0,19.35,3.91,3.86
2017,1,10,101.17,9.4,0.02,19.01,3.55,3.25
2017,1,11,101.27,9.64,0,17.85,3.65,3.56
2017,1,12,101.31,7.75,0,16.76,3.73,3.59
2017,1,13,101.45,6.65,0,15.12,3.8,3.68
2017,1,14,101.57,5.86,0,14.01,4.16,4.08
2017,1,15,101.62,5.49,0,13.2,4.37,4.28
2017,1,16,101.48,5.92,0,14.87,4.39,4.33
2017,1,17,101.5,7.26,0,17.3,4.28,4.2
2017,1,18,101.72,7.81,0,18.39,3.96,3.93
2017,1,19,101.71,7.32,0,17.33,4.57,4.49
2017,1,20,101.71,7.87,0,17.76,4.66,4.45
2017,1,21,101.74,7.08,0,17.32,4.7,4.66
2017,1,22,101.77,6.1,0,16.94,4.76,4.72
2017,1,23,101.68,7.63,0,17.71,4.45,4.37
2017,1,24,101.69,8.06,0,18.84,4.25,4.19
2017,1,25,101.74,8,0,19.05,4.52,4.46
2017,1,26,101.62,8.48,0,19.73,4.78,4.74
2017,1,27,101.47,9.28,0.01,20.8,4.58,1.95
2017,1,28,101.39,9.77,0.01,19.87,4.25,4.02
2017,1,29,101.56,7.57,0,18.54,4.68,4.62
2017,1,30,101.43,8.18,0,19.31,4.78,4.73
2017,1,31,101.35,9.03,0,19.89,4.31,4.1
2017,2,1,101.5,8.24,0,20,4.06,3.78
2017,2,2,101.68,7.87,0,19.43,3.97,3.57
2017,2,3,101.6,7.45,0,18.59,4.15,4.14
2017,2,4,101.44,7.26,0,18.93,4.48,4.27
2017,2,5,101.29,8.06,0,20.33,5.12,5.09
2017,2,6,101.14,8.54,0,21.34,5.01,4.95
2017,2,7,101.18,9.03,0,21.57,4.7,4.63
2017,2,8,101.32,7.02,0,21.06,5.07,5.04
2017,2,9,101.24,6.53,0,20.42,5.2,5.14
2017,2,10,101.2,7.87,0,21.57,4.71,4.49
2017,2,11,101.45,8.06,0,21.97,4.18,3.98
2017,2,12,101.62,8.36,0,22.69,4.12,4.05
2017,2,13,101.76,9.09,0,23.05,4.09,3.79
2017,2,14,101.84,9.77,0,23.52,4.05,3.94
2017,2,15,101.79,9.16,0,23.45,4.22,4.08
2017,2,16,101.6,7.45,0,22.64,4.57,4.52
2017,2,17,101.49,9.03,0,22.96,4.59,4.37
2017,2,18,101.5,10.74,0,23.81,4.3,4
2017,2,19,101.26,12.63,0,24.27,4.06,3.47
2017,2,20,100.82,13.12,0,24.91,4.24,3.74
2017,2,21,100.76,13.79,0,25.87,4.96,4.92
2017,2,22,100.87,14.77,0,26.53,5.13,4.85
2017,2,23,101.07,11.23,0.1,26.96,4.56,4.39
2017,2,24,101.3,6.96,0,24.55,5.72,5.67
2017,2,25,101.29,5.25,0,22.99,6.08,5.93
2017,2,26,101.07,7.39,0,23.1,6.03,5.95
2017,2,27,101.25,8.79,0,23.83,5.85,5.7
2017,2,28,101.28,8.12,0,24.29,5.69,5.65
2017,3,1,101.18,8,0,24.37,5.85,5.68
2017,3,2,101,10.8,0,25.82,5.76,5.65
2017,3,3,100.72,10.8,0,26.87,5.69,5.64
2017,3,4,100.72,11.41,0,26.56,5.3,5.12
2017,3,5,100.66,14.53,0.98,26.99,4.71,3.99
2017,3,6,100.76,11.05,1.13,27.47,4.8,4.46
2017,3,7,100.85,6.53,0.01,26.48,5.01,4.85
2017,3,8,100.8,12.57,7.38,24.64,3.98,1.33
2017,3,9,100.63,13.98,1.88,25.9,5.07,3.14
2017,3,10,100.55,14.89,10.08,27.3,4.78,3.91
2017,3,11,100.6,17.09,32.5,26.76,5.25,3.93
2017,3,12,100.88,11.72,2.28,24.92,5.21,5.2
2017,3,13,101.23,6.96,0,23.51,5.87,5.68
2017,3,14,101.31,7.26,0,23.44,6.18,6.11
2017,3,15,101.23,6.96,0,23.53,6.12,6.02
2017,3,16,101.04,7.45,0,23.69,6.08,6.03
2017,3,17,100.85,10.44,0,24.7,6.18,5.97
2017,3,18,100.82,12.21,0.05,26.67,5.45,5.12
2017,3,19,101.01,12.51,1.83,26.69,5.76,5.41
2017,3,20,101.09,10.56,7.78,24.08,5.35,4.22
2017,3,21,101.24,10.38,0,25.24,6.03,5.84
2017,3,22,101.06,12.27,0.02,25.48,6.31,5.6
2017,3,23,100.88,14.04,0,27,6.27,6.19
2017,3,24,100.83,14.4,0,28.14,6.16,5.66
2017,3,25,100.87,15.32,0,28.68,5.88,5.73
2017,3,26,100.95,16.05,0.07,28.92,5.25,4.15
2017,3,27,100.92,15.44,0.01,29.37,6.29,5.87
2017,3,28,100.79,16.36,0.01,29.75,6.26,5.41
2017,3,29,100.66,16.3,0,29.98,6.12,5.63
2017,3,30,100.68,17.33,0.01,29.97,6.54,6.35
2017,3,31,100.81,17.33,0,30.2,6.54,6.12
2017,4,1,100.66,17.52,0,29.76,6.24,5.84
2017,4,2,100.48,17.64,0.01,30.26,5.79,5.12
2017,4,3,100.54,17.15,0.15,31.04,5.87,5.46
2017,4,4,100.64,17.09,0.34,30.41,5.94,5.25
2017,4,5,100.63,17.58,0.16,29.99,5.93,4.42
2017,4,6,100.65,17.46,0.19,30.26,5.63,3.21
2017,4,7,100.65,17.76,0.18,30.98,5.76,4.22
2017,4,8,100.64,17.88,1.06,30.98,5.79,4.42
2017,4,9,100.62,16.72,1.72,31.8,5.5,4.7
2017,4,10,100.57,15.62,0.07,31.23,5.71,5.52
2017,4,11,100.59,10.99,0,30.98,6.71,6.65
2017,4,12,100.65,12.51,0,29.89,7.03,6.82
2017,4,13,100.74,13.61,0,29.8,6.77,6.62
2017,4,14,100.72,13.73,0,29.54,6.65,6.55
2017,4,15,100.53,15.32,0,29.33,6.55,6.4
2017,4,16,100.49,15.01,0.03,31.02,6.84,5.97
2017,4,17,100.62,13.98,0.05,31.29,7.05,6.75
2017,4,18,100.61,16.6,0.01,30.86,6.67,6
2017,4,19,100.43,18.01,2.13,31.15,6.04,4.78
2017,4,20,100.34,18.37,1.62,30.8,5.87,4.82
2017,4,21,100.32,18.68,1.11,31.5,6.19,5.53
2017,4,22,100.27,19.04,4.73,31.31,5.85,4.05
2017,4,23,100.32,18.8,5.09,30.94,5.71,4.35
2017,4,24,100.31,18.68,1.53,31.46,6.2,5.03
